Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline
2019-12-22,@ DEN,0,0,DET vs. DEN,DEN,1493.9573075418807,21.0,27,DET,1229.1306725159527,28.0,17,1,10,-9.5,1,-400.0,333.0
2019-12-29,@ DEN,1,0,LVR vs. DEN,DEN,1500.0,1.0,16,LVR,1500.0,1.0,15,1,1,-5.5,0,-221.0,195.0
2019-09-08,@ ARI,0,0,DET vs. ARI,ARI,1500.0,1.0,27,DET,1500.0,1.0,27,1,0,2.5,1,133.0,-147.0
2019-09-15,@ DET,0,0,LAC vs. DET,DET,1450.0,16.0,13,LAC,1550.0,1.0,10,1,3,1.0,1,-103.0,-107.0
2019-09-22,@ PHI,0,0,DET vs. PHI,PHI,1485.9935000197115,10.0,24,DET,1514.0064999802885,10.0,27,0,-3,-4.0,0,-212.0,188.0
2019-09-29,@ DET,0,0,KAN vs. DET,DET,1559.9838184071837,8.0,30,KAN,1647.9853938919734,1.0,34,0,-4,7.5,1,307.0,-364.0
2019-10-14,@ GNB,1,0,DET vs. GNB,GNB,1600.6387807649332,3.0,23,DET,1522.3842070539706,10.0,22,1,1,-3.5,0,-198.0,176.0
2019-10-20,@ DET,1,0,MIN vs. DET,DET,1483.45929353673,14.0,30,MIN,1599.5198881089018,6.0,42,0,-12,2.5,0,124.0,-137.0
2019-10-27,@ DET,0,0,NYG vs. DET,DET,1449.567018341063,20.0,31,NYG,1386.8540390057585,21.0,26,1,5,-6.5,0,-267.0,232.0
2019-11-03,@ LVR,0,0,DET vs. LVR,LVR,1485.1348540814402,16.0,31,DET,1490.6386506313072,16.0,24,1,7,-2.5,1,-143.0,129.0
2019-11-24,@ WAS,0,0,DET vs. WAS,WAS,1275.483284309115,27.0,19,DET,1346.1857239212743,20.0,16,1,3,4.0,1,169.0,-190.0
2019-12-08,@ MIN,1,0,DET vs. MIN,MIN,1599.5198881089018,6.0,20,DET,1483.45929353673,14.0,7,1,13,-12.0,1,-587.0,463.0
2019-12-15,@ DET,0,0,TAM vs. DET,DET,1244.4419275084736,27.0,17,TAM,1541.5678906664757,15.0,38,0,-21,5.5,0,210.0,-239.0
2019-12-29,@ DET,1,0,GNB vs. DET,DET,1522.3842070539706,10.0,20,GNB,1600.6387807649332,3.0,23,0,-3,13.5,1,508.0,-656.0
2019-09-15,@ GNB,1,0,MIN vs. GNB,GNB,1550.0,1.0,21,MIN,1550.0,1.0,16,1,5,-3.0,1,-165.0,148.0
2019-09-26,@ GNB,0,0,PHI vs. GNB,GNB,1624.0253073352042,1.0,27,PHI,1440.0161815928163,16.0,34,0,-7,-3.5,0,-190.0,169.0
2019-10-20,@ GNB,0,0,LVR vs. GNB,GNB,1639.5636942821739,3.0,42,LVR,1576.3024433434357,8.0,24,1,18,-5.5,1,-241.0,211.0
2019-10-27,@ KAN,0,0,GNB vs. KAN,KAN,1586.4961508770298,6.0,24,GNB,1680.558961441137,3.0,31,0,-7,5.0,0,202.0,-230.0
2019-11-03,@ LAC,0,0,GNB vs. LAC,LAC,1387.171881007786,20.0,26,GNB,1717.343552128175,3.0,11,1,15,4.0,1,184.0,-208.0
2019-11-24,@ SFO,0,0,GNB vs. SFO,SFO,1696.7852144607855,1.0,37,GNB,1676.4441799101896,2.0,8,1,29,-3.0,1,-175.0,156.0
2019-12-01,@ NYG,0,0,GNB vs. NYG,NYG,1231.0464269328247,25.0,13,GNB,1629.3681500667494,6.0,31,0,-18,6.5,0,223.0,-256.0
2019-12-08,@ GNB,0,0,WAS vs. GNB,GNB,1638.5392178021027,6.0,20,WAS,1402.1781035117517,26.0,15,1,5,-13.0,0,-752.0,568.0
2019-12-23,@ MIN,1,0,GNB vs. MIN,MIN,1550.0,1.0,10,GNB,1550.0,1.0,23,0,-13,-4.0,0,-202.0,179.0
2020-01-12,@ GNB,0,1,SEA vs. GNB,GNB,1737.2064923566315,2.0,28,SEA,1613.593143589891,2.0,23,1,5,-4.5,1,-224.0,197.0
2020-01-19,@ SFO,0,1,GNB vs. SFO,SFO,1761.8981334337343,1.0,37,GNB,1770.1315699452678,1.0,20,1,17,-3.0,1,-175.0,156.0
2019-09-09,@ NOR,0,0,HOU vs. NOR,NOR,1500.0,1.0,30,HOU,1500.0,1.0,28,1,2,-6.5,0,-310.0,273.0
2019-09-15,@ HOU,1,0,JAX vs. HOU,HOU,1450.0,16.0,13,JAX,1450.0,16.0,12,1,1,-7.5,0,-336.0,286.0
2019-09-22,@ LAC,0,0,HOU vs. LAC,LAC,1485.9935000197115,10.0,20,HOU,1500.0,10.0,27,0,-7,-3.0,0,-168.0,151.0
2019-10-13,@ KAN,0,0,HOU vs. KAN,KAN,1610.9567917412774,3.0,24,HOU,1523.7132093327734,8.0,31,0,-7,-3.5,0,-186.0,166.0
2019-10-20,@ IND,1,0,HOU vs. IND,IND,1572.7924198734336,8.0,30,HOU,1586.0111682689,6.0,23,1,7,-1.5,1,-120.0,109.0
2019-10-27,@ HOU,0,0,LVR vs. HOU,HOU,1534.1097548281712,11.0,27,LVR,1535.3071761844726,14.0,24,1,3,-5.0,0,-236.0,207.0
2019-11-03,@ JAX,1,0,HOU vs. JAX,JAX,1450.0,16.0,3,HOU,1450.0,16.0,26,0,-23,-1.0,0,-113.0,103.0
2019-11-21,@ HOU,1,0,IND vs. HOU,HOU,1586.0111682689,6.0,20,IND,1572.7924198734336,8.0,17,1,3,-3.5,0,-183.0,164.0
2019-12-01,@ HOU,0,0,NWE vs. HOU,HOU,1624.4492205022268,8.0,28,NWE,1724.8293814350716,1.0,22,1,6,3.5,1,154.0,-172.0
